Abkuerzung Betriebspunkt;Bezeichnung Betriebspunkt;Abkuerzung Betriebspunkt Strecke;Bezeichnung Betriebspunkt Strecke;LINIE;Kilometrierung des Betriebspunktes;LINIENNAME;VERWALTUNG;E;N;geopos;BPUIC;Didok Nummer;Name Haltestelle;lod
SEM;Sempach-Neuenkirch;SEM;Sempach-Neuenkirch;500;78.9919;Basel SBB - Olten - Luzern;SBB CFF;2657475.924;1218617.079;1218617.08113,2657475.92061;8502009;2009;Sempach-Neuenkirch;http://lod.opentransportdata.swiss/didok/8502009
SEU;Seuzach;SEU;Seuzach;821;7.51319;Oberwinterthur - Etzwilen West (Abzw);SBB CFF;2697901.163;1265814.88;1265814.88114,2697901.16062;8506020;6020;Seuzach;http://lod.opentransportdata.swiss/didok/8506020
SEV;Sevelen;SEV;Sevelen;880;10.94734;Sargans Ost - St.Gallen;SBB CFF;2755928.833;1221418.332;1221418.33111,2755928.83068;8509406;9406;Sevelen;http://lod.opentransportdata.swiss/didok/8509406
SEZU;Sedrun Zugangsstollen;SEZU;Sedrun Zugangsstollen;5003;-0.03541;Sedrun Zugangs- und Entluftungsstollen;SBB CFF;2701852.135;1170179.973;1170179.9711,2701852.14066;8518492;18492;Sedrun Zugangsstollen;http://lod.opentransportdata.swiss/didok/8518492
SG;St. Gallen;SG;St. Gallen;850;80.45623;St.Gallen - Winterthur Nord;SBB CFF;2745712.515;1254278.969;1254278.97112,2745712.52066;8506302;6302;St Gallen;http://lod.opentransportdata.swiss/didok/8506302
SGF;St. Gallen St. Fiden;SGF;St. Gallen St. Fiden;869;19.12693;Romanshorn Sud - St.Gallen St.Fiden;SBB CFF;2747457.284;1255585.793;1255585.79112,2747457.28066;8506303;6303;St Gallen St Fiden;http://lod.opentransportdata.swiss/didok/8506303
SGW;St. Gallen West (Abzw);SG;St. Gallen;870;22.52032;St.Gallen West - Lichtensteig;SBB CFF;2744946.904;1253501.261;1253501.26112,2744946.90066;8506218;6218;St Gallen West (Abzw);http://lod.opentransportdata.swiss/didok/8506218
SH;Schaffhausen;SH;Schaffhausen;764;364.49167;Schaffhausen - Singen - Konstanz;SBB CFF;2689636.089;1283755.982;1283755.98115,2689636.09061;8503424;3424;Schaffhausen;http://lod.opentransportdata.swiss/didok/8503424
SIB;Siebnen-Wangen;SIB;Siebnen-Wangen;720;43.48406;ZH Langstrasse - Thalwil - Ziegelbrucke;SBB CFF;2710816.146;1226778.323;1226778.32113,2710816.15065;8503221;3221;Siebnen-Wangen;http://lod.opentransportdata.swiss/didok/8503221
SIGI;Sigirino;SIGI;Sigirino;600;171.235;Immensee - Bellinzona - Chiasso;SBB CFF;2715255.644;1103755.762;1103755.76107,2715255.64069;8516933;16933;Sigirino;http://lod.opentransportdata.swiss/didok/8516933
SMG;St. Margrethen;SMG;St. Margrethen;880;53.81952;Sargans Ost - St.Gallen;SBB CFF;2765861.81;1258150.432;1258150.43111,2765861.81068;8506314;6314;St Margrethen;http://lod.opentransportdata.swiss/didok/8506314
SO;Solothurn;SO;Solothurn;410;73.81863;Olten - Solothurn - Biel/Bienne;SBB CFF;2607884.418;1228144.25;1228144.25116,2607884.42056;8500207;207;Solothurn;http://lod.opentransportdata.swiss/didok/8500207
SRBO;Schaffhausen RB Ost (Ende SBB);SHRB;Schaffhausen GB;762;58.83388;Winterthur Nord - Schaffhausen RB Ost;SBB CFF;2691415.641;1285664.349;1285664.35115,2691415.64061;8515473;15473;Schaffhausen RB Ost (Ende SBB);http://lod.opentransportdata.swiss/didok/8515473
SS;Sursee;SS;Sursee;500;69.0362;Basel SBB - Olten - Luzern;SBB CFF;2649981.241;1224635.637;1224635.64114,2649981.2406;8502007;2007;Sursee;http://lod.opentransportdata.swiss/didok/8502007
SSMN;Sedrun SMF Nord;SSMF;Sedrun SMF;594;220.41576;GBT West;SBB CFF;2701753.412;1169722.999;1169723.0011,2701753.41066;8518322;18322;Sedrun SMF Nord;http://lod.opentransportdata.swiss/didok/8518322
STKW;St. Katharinental West;STKW;St. Katharinental West;820;40.58527;Etzwilen - Schaffhausen;SBB CFF;2696344.75;1282355.527;1282355.53114,2696344.75062;8519194;19194;St Katharinental West;http://lod.opentransportdata.swiss/didok/8519194
STUA;Studen Auto;STU;Studen BE;263;27.645;Studen Auto - Studen;SBB CFF;2589955.2391;1217414.4046;1217414.41116,2589955.24055;8504417;4417;Studen Auto;http://lod.opentransportdata.swiss/didok/8504417
TA;Tavannes;TA;Tavannes;235;0.0;Tavannes - Le Noirmont;SBB CFF;2582049.837;1229906.622;1229906.62116,2582049.84054;8500100;100;Tavannes;http://lod.opentransportdata.swiss/didok/8500100
TAFR;Tanklager Frevlig;TAFR;Tanklager Frevlig;768;22.14451;Niederglatt - Tanklager Oberhasli West;SBB CFF;2679900.987;1259299.951;1259299.95115,2679900.99061;8515475;15475;Tanklager Frevlig;http://lod.opentransportdata.swiss/didok/8515475
TG;Turgi;TG;Turgi;702;27.43298;Turgi - Koblenz - Waldshut;SBB CFF;2661404.349;1260429.271;1260429.27114,2661404.3506;8503503;3503;Turgi;http://lod.opentransportdata.swiss/didok/8503503
TH;Thun;TH;Thun;299;137.01735;Thun AB - Thun;SBB CFF;2614590.895;1178202.885;1178202.89114,2614590.89058;8507100;7100;Thun;http://lod.opentransportdata.swiss/didok/8507100
THAB;Thun (Abzw);TH;Thun;430;33.04016;Hasle Ruegsau - Thun;SBB CFF;2613949.053;1178788.244;1178788.24114,2613949.05058;8515629;15629;Thun (Abzw);http://lod.opentransportdata.swiss/didok/8515629
TOL;Tolochenaz;TOL;Tolochenaz;150;14.72361;Lausanne - Geneve-Aeroport;SBB CFF;2526023.842;1149958.491;1149958.49114,2526023.84051;8501046;1046;Tolochenaz;http://lod.opentransportdata.swiss/didok/8501046
TREY;Trey;TREY;Trey;251;53.40557;Palezieux Est - Lyss Nord;SBB CFF;2560106.513;1181109.47;1181109.47115,2560106.51053;8504142;4142;Trey;http://lod.opentransportdata.swiss/didok/8504142
TUE;Tuscherz;TUE;Tuscherz;9210;99.946;La Neuveville - Tuscherz;SBB CFF;2581686.073;1218252.357;1218252.36116,2581686.07054;8504229;4229;Tüscherz;http://lod.opentransportdata.swiss/didok/8504229
TW;Thalwil;TW;Thalwil;660;12.09403;Thalwil - Zug - Fluhmuhle;SBB CFF;2685175.08;1238954.704;1238954.70113,2685175.08062;8503202;3202;Thalwil;http://lod.opentransportdata.swiss/didok/8503202
TWNO;Thalwil Nord (Abzw);TW;Thalwil;720;11.66372;ZH Langstrasse - Thalwil - Ziegelbrucke;SBB CFF;2684898.648;1239282.896;1239282.90113,2684898.65062;8515177;15177;Thalwil Nord (Abzw);http://lod.opentransportdata.swiss/didok/8515177
VAU;Vaumarcus;VAU;Vaumarcus;210;54.85391;Daillens - Biel/Bienne;SBB CFF;2548083.795;1192061.831;1192061.83116,2548083.80052;8504204;4204;Vaumarcus;http://lod.opentransportdata.swiss/didok/8504204
VG;Villars-sur-Glane;VG;Villars-sur-Glane;250;62.1187;Lausanne Est - Bern;SBB CFF;2575394.82;1182124.48;1182124.48115,2575394.82055;8504030;4030;Villars-sur-Glâne;http://lod.opentransportdata.swiss/didok/8504030
VU;Vufflens-la-Ville;VU;Vufflens-la-Ville;200;10.9739;Renens VD Ouest - Vallorbe;SBB CFF;2530406.445;1158733.846;1158733.85114,2530406.45051;8501116;1116;Vufflens-la-Ville;http://lod.opentransportdata.swiss/didok/8501116
VV;Vevey;VV;Vevey;100;18.39805;Lausanne - Simplon Tunnel I - Iselle;SBB CFF;2554278.705;1145915.435;1145915.43113,2554278.70053;8501200;1200;Vevey;http://lod.opentransportdata.swiss/didok/8501200
VZ;Villaz-St-Pierre;VZ;Villaz-St-Pierre;250;45.04215;Lausanne Est - Bern;SBB CFF;2563456.273;1174487.164;1174487.16114,2563456.27054;8504024;4024;Villaz-St-Pierre;http://lod.opentransportdata.swiss/didok/8504024
WAB;Waldibrucke;WAB;Waldibrucke;651;5.58945;Hubeli - Beinwil - Lenzburg;SBB CFF;2666875.79;1217808.634;1217808.63114,2666875.79061;8502017;2017;Waldibrücke;http://lod.opentransportdata.swiss/didok/8502017
WAE;Wadenswil;WAE;Wadenswil;670;-0.09455;Wadenswil - Einsiedeln;SBB CFF;2693644.81;1231668.66;1231668.66113,2693644.81063;8503206;3206;Wädenswil;http://lod.opentransportdata.swiss/didok/8503206
WANZ;Wanzwil (Abzw);WANZ;Wanzwil (Abzw);415;67.95673;Wanzwil (Abzw) - Solothurn - Busswil;SBB CFF;2619745.919;1227510.463;1227510.46115,2619745.92057;8508047;8047;Wanzwil (Abzw);http://lod.opentransportdata.swiss/didok/8508047
WAST;Walterswil-Striegel;WAST;Walterswil-Striegel;504;4.93943;Zofingen - Suhr;SBB CFF;2639659.338;1241138.107;1241138.11115,2639659.34058;8502121;2121;Walterswil-Striegel;http://lod.opentransportdata.swiss/didok/8502121
WF;Weinfelden;WF;Weinfelden;840;59.48791;Winterthur Nord - Romanshorn;SBB CFF;2725494.691;1269723.992;1269723.99113,2725494.69064;8506105;6105;Weinfelden;http://lod.opentransportdata.swiss/didok/8506105
WFKV;Weinfelden KVA Thurgau (Abzw);WFKV;Weinfelden KVA Thurgau (Abzw);840;61.28927;Winterthur Nord - Romanshorn;SBB CFF;2727082.292;1268872.796;1268872.80113,2727082.29064;8506117;6117;Weinfelden KVA Thurgau (Abzw);http://lod.opentransportdata.swiss/didok/8506117
WH;Wolhusen;WH;Wolhusen;445;25.2598;Huttwil - Wolhusen;SBB CFF;2648710.701;1211805.481;1211805.48114,2648710.7006;8508215;8215;Wolhusen;http://lod.opentransportdata.swiss/didok/8508215
WHE;Winterthur Hegi;WHE;Winterthur Hegi;850;133.898;St.Gallen - Winterthur Nord;SBB CFF;2700229.177;1262041.705;1262041.70114,2700229.18063;8516218;16218;Winterthur Hegi;http://lod.opentransportdata.swiss/didok/8516218
WI;Wildegg;WI;Wildegg;640;40.41538;Brugg - Rupperswil;SBB CFF;2654667.742;1251859.158;1251859.16115,2654667.74059;8502115;2115;Wildegg;http://lod.opentransportdata.swiss/didok/8502115
WILA;Wila;WILA;Wila;754;18.1048;Winterthur Gruze - Bauma - Ruti ZH West;SBB CFF;2706388.775;1252840.441;1252840.44113,2706388.77063;8506008;6008;Wila;http://lod.opentransportdata.swiss/didok/8506008
WL;Wald;WL;Wald;754;39.61664;Winterthur Gruze - Bauma - Ruti ZH West;SBB CFF;2711634.837;1236803.582;1236803.58113,2711634.84064;8503138;3138;Wald;http://lod.opentransportdata.swiss/didok/8503138
WNO;Winterthur Nord;W;Winterthur;762;26.48897;Winterthur Nord - Schaffhausen RB Ost;SBB CFF;2696979.178;1262169.787;1262169.79113,2696979.18062;8515484;15484;Winterthur Nord;http://lod.opentransportdata.swiss/didok/8515484
WON;Wohlen Nord (Abzw);WO;Wohlen AG;657;0.0;Wohlen - Villmergen;SBB CFF;2662480.093;1244833.211;1244833.21115,2662480.0906;8515433;15433;Wohlen Nord (Abzw);http://lod.opentransportdata.swiss/didok/8515433
WSO;Wallisellen Ost (Abzw);WS;Wallisellen;740;92.58867;Rapperswil - Uster - Wallisellen Ost;SBB CFF;2687644.388;1251739.811;1251739.81114,2687644.39062;8515486;15486;Wallisellen Ost (Abzw);http://lod.opentransportdata.swiss/didok/8515486
WUER;Wurenlos;WUER;Wurenlos;703;39.04548;ZH Oerlikon Nord - Wettingen - Gruemet;SBB CFF;2669316.886;1255402.072;1255402.07114,2669316.8906;8503529;3529;Würenlos;http://lod.opentransportdata.swiss/didok/8503529
WUER;Wurenlos;WUER;Wurenlos;704;39.04548;Wurenlos - Killwangen West (RBL);SBB CFF;2669316.886;1255402.072;1255402.07114,2669316.8906;8503529;3529;Würenlos;http://lod.opentransportdata.swiss/didok/8503529
WWE;Winterthur West (Abzw);W;Winterthur;751;25.13726;ZH Langstr. - Wallisellen - Winterthur;SBB CFF;2696354.88;1260972.752;1260972.75114,2696354.88062;8506032;6032;Winterthur West (Abzw);http://lod.opentransportdata.swiss/didok/8506032
YV;Yverdon-les-Bains;YV;Yverdon-les-Bains;212;-0.095;Yverdon - Ste-Croix;SBB CFF;2539084.258;1181463.254;1181463.25115,2539084.26051;8504200;4200;Yverdon-les-Bains;http://lod.opentransportdata.swiss/didok/8504200
ZAF;Zurich Affoltern;ZAF;Zurich Affoltern;703;26.14225;ZH Oerlikon Nord - Wettingen - Gruemet;SBB CFF;2680736.318;1252783.586;1252783.59114,2680736.32061;8503008;3008;Zürich Affoltern;http://lod.opentransportdata.swiss/didok/8503008
ZAS;Zurich Altstetten;ZAS;Zurich Altstetten;709;4.19283;Zue Vorbahnhof Nord - Zurich Altstetten;SBB CFF;2679299.727;1249492.217;1249492.22114,2679299.73061;8503001;3001;Zürich Altstetten;http://lod.opentransportdata.swiss/didok/8503001
ZASO;Zurich Altstetten Ost (Abzw);ZAS;Zurich Altstetten;710;3.69575;Zurich HB - Brugg AG;SBB CFF;2679763.344;1249396.732;1249396.73114,2679763.34061;8515487;15487;Zürich Altstetten Ost (Abzw);http://lod.opentransportdata.swiss/didok/8515487
ZASO;Zurich Altstetten Ost (Abzw);ZAS;Zurich Altstetten;748;197.16024;ZH Altstetten - ZH Oerlikon, DML;SBB CFF;2679763.344;1249396.732;1249396.73114,2679763.34061;8515487;15487;Zürich Altstetten Ost (Abzw);http://lod.opentransportdata.swiss/didok/8515487
ZAU;Zurich Aussersihl (Abzw);ZAU;Zurich Aussersihl (Abzw);722;1.95861;ZH Langstrasse - Nidelbad - Litti;SBB CFF;2681666.533;1248121.011;1248121.01114,2681666.53062;8515482;15482;Zürich Aussersihl (Abzw);http://lod.opentransportdata.swiss/didok/8515482
ZFFR;Frauenfeld Zuckerruben;ZFFR;Frauenfeld Zuckerruben;840;40.34774;Winterthur Nord - Romanshorn;SBB CFF;2708126.56;1268041.719;1268041.72113,2708126.56063;8506115;6115;Frauenfeld Zuckerrüben;http://lod.opentransportdata.swiss/didok/8506115
ZFN;Zofingen Nord (Abzw);ZF;Zofingen;500;47.05;Basel SBB - Olten - Luzern;SBB CFF;2637946.449;1237935.728;1237935.73115,2637946.45058;8515435;15435;Zofingen Nord (Abzw);http://lod.opentransportdata.swiss/didok/8515435
ZGCA;Zug Casino;ZGCA;Zug Casino;665;1.406;Zug Sud - Arth-Goldau;SBB CFF;2681630.235;1224043.133;1224043.13113,2681630.23062;8517527;17527;Zug Casino;http://lod.opentransportdata.swiss/didok/8517527
ZGFR;Zug Fridbach;ZGFR;Zug Fridbach;665;2.09;Zug Sud - Arth-Goldau;SBB CFF;2681418.255;1223402.356;1223402.36113,2681418.25062;8515994;15994;Zug Fridbach;http://lod.opentransportdata.swiss/didok/8515994
ZGPP;Zug Postplatz;ZGPP;Zug Postplatz;665;0.605;Zug Sud - Arth-Goldau;SBB CFF;2681752.654;1224707.212;1224707.21113,2681752.65062;8502300;2300;Zug Postplatz;http://lod.opentransportdata.swiss/didok/8502300
ZHDB;Zurich Hardbrucke;ZHDB;Zurich Hardbrucke;711;1.91229;ZH Hardbrucke - Kollermuhle;SBB CFF;2681435.526;1248822.322;1248822.32114,2681435.53062;8503020;3020;Zürich Hardbrücke;http://lod.opentransportdata.swiss/didok/8503020
ZHER;Zurich Herdern Abstellgruppe;ZHER;Zurich Herdern Abstellgruppe;709;3.26706;Zue Vorbahnhof Nord - Zurich Altstetten;SBB CFF;2680240.908;1249419.861;1249419.86115,2680240.91061;8503012;3012;Zürich Herdern Abstellgruppe;http://lod.opentransportdata.swiss/didok/8503012
ZK;Zollikon;ZK;Zollikon;730;9.53595;Zurich Stadelhofen - Rapperswil;SBB CFF;2685484.775;1243557.289;1243557.29114,2685484.77062;8503100;3100;Zollikon;http://lod.opentransportdata.swiss/didok/8503100
ZLOE;Zurich HB Lowenstrasse;ZLOE;Zurich HB Lowenstrasse;748;200.85983;ZH Altstetten - ZH Oerlikon, DML;SBB CFF;2683107.302;1248023.63;1248023.63114,2683107.30062;8516144;16144;Zürich HB Löwenstrasse;http://lod.opentransportdata.swiss/didok/8516144
ZOL;Zollikofen;ZOL;Zollikofen;292;26.85;Solothurn - Bern RBS;SBB CFF;2601846.567;1205641.445;1205641.45115,2601846.57056;8504410;4410;Zollikofen;http://lod.opentransportdata.swiss/didok/8504410
ZOL;Zollikofen;ZOL;Zollikofen;450;98.806;Olten Sud - Bern;SBB CFF;2601846.567;1205641.445;1205641.45115,2601846.57056;8504410;4410;Zollikofen;http://lod.opentransportdata.swiss/didok/8504410
ZSEO;Zurich Seebach Ost (Abzw);ZSEB;Zurich Seebach;706;5.45909;Zurich Seebach - Glattbrugg Sud;SBB CFF;2683665.601;1252594.808;1252594.81114,2683665.60062;8515496;15496;Zürich Seebach Ost (Abzw);http://lod.opentransportdata.swiss/didok/8515496
ZSTH;Zurich Stadelhofen;ZSTH;Zurich Stadelhofen;9728;0.051;Riesbachtunnel II;SBB CFF;2683832.75;1246788.882;1246788.88114,2683832.75062;8503003;3003;Zürich Stadelhofen;http://lod.opentransportdata.swiss/didok/8503003
ZTB;Zurich Tiefenbrunnen;ZTB;Zurich Tiefenbrunnen;730;7.94141;Zurich Stadelhofen - Rapperswil;SBB CFF;2684833.357;1244970.095;1244970.09114,2684833.36062;8503004;3004;Zürich Tiefenbrunnen;http://lod.opentransportdata.swiss/didok/8503004
ZTB;Zurich Tiefenbrunnen;ZTB;Zurich Tiefenbrunnen;9728;0.052;Riesbachtunnel II;SBB CFF;2684833.357;1244970.095;1244970.09114,2684833.36062;8503004;3004;Zürich Tiefenbrunnen;http://lod.opentransportdata.swiss/didok/8503004
ZVB;Zurich Vorbahnhof;ZVB;Zurich Vorbahnhof;714;1.98488;Zurich - Altstetten (Sudeinfahrt);SBB CFF;2681364.531;1248735.091;1248735.09115,2681364.53062;8503025;3025;Zürich Vorbahnhof;http://lod.opentransportdata.swiss/didok/8503025
ZVB;Zurich Vorbahnhof;ZVB;Zurich Vorbahnhof;719;1.9616;ZH Langstrasse - ZH Altstetten Sud;SBB CFF;2681364.531;1248735.091;1248735.09115,2681364.53062;8503025;3025;Zürich Vorbahnhof;http://lod.opentransportdata.swiss/didok/8503025
ZVBO;Zurich Vorbahnhof Ost;ZVB;Zurich Vorbahnhof;714;1.61311;Zurich - Altstetten (Sudeinfahrt);SBB CFF;2681698.743;1248581.62;1248581.62114,2681698.74062;8515761;15761;Zürich Vorbahnhof Ost;http://lod.opentransportdata.swiss/didok/8515761
AAT;Aathal;AAT;Aathal;740;77.38112;Rapperswil - Uster - Wallisellen Ost;SBB CFF;2700290.162;1243636.271;1243636.27113,2700290.16063;8503124;3124;Aathal;http://lod.opentransportdata.swiss/didok/8503124
AE;Aesch;AE;Aesch;230;113.00006;Delemont Est - Basel SBB Ost;SBB CFF;2612398.052;1257453.914;1257453.91117,2612398.05056;8500117;117;Aesch;http://lod.opentransportdata.swiss/didok/8500117
AESP;Aespli;AESP;Aespli;456;92.76085;Oberhard BE - Aespli;SBB CFF;2606453.566;1208598.853;1208598.85115,2606453.57057;8515299;15299;Aespli;http://lod.opentransportdata.swiss/didok/8515299
AGIP;Monthey Agip (embr);AGIP;Monthey Agip (embr);131;10.087;Les Paluds - St-Gingolph (Frontiere);SBB CFF;2561259.292;1126489.38;1126489.38112,2561259.29055;8501435;1435;Monthey Agip (embr);http://lod.opentransportdata.swiss/didok/8501435
AI;Airolo;AI;Airolo;600;86.20893;Immensee - Bellinzona - Chiasso;SBB CFF;2689765.163;1153582.904;1153582.9011,2689765.16065;8505201;5201;Airolo;http://lod.opentransportdata.swiss/didok/8505201
AIG;Aigle;AIG;Aigle;100;39.31241;Lausanne - Simplon Tunnel I - Iselle;SBB CFF;2563416.288;1129606.2;1129606.20112,2563416.29055;8501400;1400;Aigle;http://lod.opentransportdata.swiss/didok/8501400
AL;Altdorf;AL;Altdorf;600;35.25017;Immensee - Bellinzona - Chiasso;SBB CFF;2690937.783;1192314.733;1192314.73112,2690937.78064;8505113;5113;Altdorf;http://lod.opentransportdata.swiss/didok/8505113
ALM;Al Motto (c bin);ALM;Al Motto (c bin);600;161.3521;Immensee - Bellinzona - Chiasso;SBB CFF;2716215.437;1111508.968;1111508.97108,2716215.44069;8505247;5247;Al Motto (c bin);http://lod.opentransportdata.swiss/didok/8505247
ALTD;Altendorf;ALTD;Altendorf;720;37.17886;ZH Langstrasse - Thalwil - Ziegelbrucke;SBB CFF;2704897.317;1227927.044;1227927.04113,2704897.32064;8503211;3211;Altendorf;http://lod.opentransportdata.swiss/didok/8503211
ARB;Arbon;ARB;Arbon;825;90.28449;Romanshorn Feld H - Rorschach;SBB CFF;2750252.54;1264114.238;1264114.24113,2750252.54066;8506308;6308;Arbon;http://lod.opentransportdata.swiss/didok/8506308
ARCY;Archy (bif);ARCY;Archy (bif);150;6.30658;Lausanne - Geneve-Aeroport;SBB CFF;2532512.118;1154928.645;1154928.64114,2532512.12051;8501147;1147;Archy (bif);http://lod.opentransportdata.swiss/didok/8501147
AUV;Auvernier;AUV;Auvernier;210;70.34416;Daillens - Biel/Bienne;SBB CFF;2557322.201;1203328.107;1203328.11116,2557322.20052;8504219;4219;Auvernier;http://lod.opentransportdata.swiss/didok/8504219
AUV;Auvernier;AUV;Auvernier;219;4.9791;Auvernier - Les Verrieres frontiere;SBB CFF;2557322.201;1203328.107;1203328.11116,2557322.20052;8504219;4219;Auvernier;http://lod.opentransportdata.swiss/didok/8504219
BAE;Bach;BAE;Bach;720;29.37393;ZH Langstrasse - Thalwil - Ziegelbrucke;SBB CFF;2697630.871;1228583.235;1228583.23113,2697630.87064;8503208;3208;Bäch;http://lod.opentransportdata.swiss/didok/8503208
BALT;Baltschieder (Agl);BALT;Baltschieder (Agl);100;135.902;Lausanne - Simplon Tunnel I - Iselle;SBB CFF;2633388.428;1127202.217;1127202.2211,2633388.43061;8515515;15515;Baltschieder (Agl);http://lod.opentransportdata.swiss/didok/8515515
BASM;Balerna per Smistamento (bif);BAL;Balerna;638;203.05052;Balerna SM - Chiasso Smistamento;SBB CFF;2721290.915;1078708.43;1078708.43106,2721290.9107;8505347;5347;Balerna per Smistamento (bif);http://lod.opentransportdata.swiss/didok/8505347
BCT;Boncourt;BCT;Boncourt;240;123.35159;Delemont - Delle;SBB CFF;2568193.717;1260294.177;1260294.18118,2568193.72052;8500128;128;Boncourt;http://lod.opentransportdata.swiss/didok/8500128
BELE;Bellach Industrie;BELE;Bellach Industrie;410;77.62888;Olten - Solothurn - Biel/Bienne;SBB CFF;2604301.598;1228611.892;1228611.89116,2604301.60056;8519032;19032;Bellach Industrie;http://lod.opentransportdata.swiss/didok/8519032
BER;Berlingen;BER;Berlingen;822;48.91312;Etzwilen - Konstanz;SBB CFF;2718908.659;1281486.385;1281486.39114,2718908.66063;8506135;6135;Berlingen;http://lod.opentransportdata.swiss/didok/8506135
BG;Brugg AG;BG;Brugg AG;640;31.27592;Brugg - Rupperswil;SBB CFF;2658054.322;1259183.737;1259183.74115,2658054.32059;8500309;309;Brugg AG;http://lod.opentransportdata.swiss/didok/8500309
BG;Brugg AG;BG;Brugg AG;700;31.27262;Brugg - Pratteln Ost;SBB CFF;2658054.322;1259183.737;1259183.74115,2658054.32059;8500309;309;Brugg AG;http://lod.opentransportdata.swiss/didok/8500309
BI;Biel/Bienne;BI;Biel/Bienne;210;104.5;Daillens - Biel/Bienne;SBB CFF;2585151.205;1220231.592;1220231.59116,2585151.20054;8504300;4300;Biel/Bienne;http://lod.opentransportdata.swiss/didok/8504300
BIA;Biasca;BIA;Biasca;600;131.795;Immensee - Bellinzona - Chiasso;SBB CFF;2718190.974;1134556.101;1134556.10108,2718190.97068;8505209;5209;Biasca;http://lod.opentransportdata.swiss/didok/8505209
BIAE;Biel/Bienne Aebistrasse;BI;Biel/Bienne;260;33.06921;Zollikofen Nord - Biel/Bienne Aebistr.;SBB CFF;2585613.313;1219980.517;1219980.52115,2585613.31054;8515304;15304;Biel/Bienne Aebistrasse;http://lod.opentransportdata.swiss/didok/8515304
BIAE;Biel/Bienne Aebistrasse;BI;Biel/Bienne;268;98.84323;Biel Depot Ost - Biel Aebistrasse;SBB CFF;2585613.313;1219980.517;1219980.52115,2585613.31054;8515304;15304;Biel/Bienne Aebistrasse;http://lod.opentransportdata.swiss/didok/8515304
BIO;Biel/Bienne Ost;BI;Biel/Bienne;265;97.62187;Biel Mett Abzweigung - Biel/Bienne Ost;SBB CFF;2586391.131;1220646.806;1220646.81115,2586391.13055;8515307;15307;Biel/Bienne Ost;http://lod.opentransportdata.swiss/didok/8515307
BIRW;Biel/Bienne RB West;BIRB;Biel/Bienne RB;265;97.35872;Biel Mett Abzweigung - Biel/Bienne Ost;SBB CFF;2586524.892;1220870.722;1220870.72116,2586524.89054;8504341;4341;Biel/Bienne RB West;http://lod.opentransportdata.swiss/didok/8504341
BN;Bern;BN;Bern;450;106.15556;Olten Sud - Bern;SBB CFF;2600037.945;1199749.812;1199749.81114,2600037.95056;8507000;7000;Bern;http://lod.opentransportdata.swiss/didok/8507000
BNSH;Bern Steigerhubel (Abzw);BNWM;Bern Weyermannshaus;250;94.578;Lausanne Est - Bern;SBB CFF;2597864.448;1199556.545;1199556.55114,2597864.45056;8515644;15644;Bern Steigerhubel (Abzw);http://lod.opentransportdata.swiss/didok/8515644
BOAN;Bodio cunicolo di aggira. nord;BOAN;Bodio cunicolo di aggira. nord;5005;1.26169;Bodio cunicolo di aggiramento;SBB CFF;2713710.042;1137591.911;1137591.91108,2713710.04068;8518497;18497;Bodio cunicolo di aggira nord;http://lod.opentransportdata.swiss/didok/8518497
BOL;Bollingen;BOL;Bollingen;735;54.4166;Ziegelbrucke West - Rapperswil Ost;SBB CFF;2709115.934;1230603.363;1230603.36112,2709115.93064;8503114;3114;Bollingen;http://lod.opentransportdata.swiss/didok/8503114
BOMO;Bossy Moulins (embr);BOMO;Bossy Moulins (embr);253;31.04;Payerne Est - Fribourg Nord;SBB CFF;2564326.169;1185900.81;1185900.81115,2564326.17053;8504038;4038;Bossy Moulins (embr);http://lod.opentransportdata.swiss/didok/8504038
BOV;Boveresse;BOV;Boveresse;219;29.47;Auvernier - Les Verrieres frontiere;SBB CFF;2535771.652;1196781.06;1196781.06116,2535771.65051;8504213;4213;Boveresse;http://lod.opentransportdata.swiss/didok/8504213
BRBT;Basel SBB RB Gr T;BSRB;Basel SBB RB;511;5.88503;Basel SBB - Basel GB - Basel RB;SBB CFF;2616761.755;1264525.266;1264525.27117,2616761.75056;8515379;15379;Basel SBB RB Gr T;http://lod.opentransportdata.swiss/didok/8515379
BRGL;Bruglen (Spw);BRGL;Bruglen (Spw);653;102.26688;Gexi Ost - Rotkreuz - Immensee West;SBB CFF;2676694.104;1220734.67;1220734.67113,2676694.10062;8515542;15542;Brüglen (Spw);http://lod.opentransportdata.swiss/didok/8515542
BRUA;Brunnen Sud (Abzw);BRU;Brunnen;604;21.45;Brunnen - Sisikon (Gleis links);SBB CFF;2689124.64;1205166.085;1205166.09112,2689124.64064;8515380;15380;Brunnen Süd (Abzw);http://lod.opentransportdata.swiss/didok/8515380
BSGB;Basel SBB GB;BSGB;Basel SBB GB;513;121.71765;Basel SBB GB Verbindungslinie;SBB CFF;2612814.716;1265750.769;1265750.77117,2612814.72056;8500040;40;Basel SBB GB;http://lod.opentransportdata.swiss/didok/8500040
BSNK;Basel SBB RB Nordkopf (Abzw);BSRB;Basel SBB RB;511;3.5063;Basel SBB - Basel GB - Basel RB;SBB CFF;2614587.121;1265453.649;1265453.65117,2614587.12056;8500044;44;Basel SBB RB Nordkopf (Abzw);http://lod.opentransportdata.swiss/didok/8500044
